Amplicon	Letter	Number	MT	WT	Ratio
EL_CUX1	A	1	0	0	0.0
EL_SRSF2	A	1	1	1	0.49751243781094534
EL_TET2a	A	1	4	3	0.5706134094151213
EL_TET2b	A	1	0	1	0.0
EL_TGFB3_c	A	1	0	0	0.0
EL_TGFB3_g	A	1	0	9	0.0
EL_CUX1	A	10	0	0	0.0
EL_SRSF2	A	10	0	0	0.0
EL_TET2a	A	10	2	2	0.49875311720698257
EL_TET2b	A	10	0	1	0.0
EL_TGFB3_c	A	10	0	0	0.0
EL_TGFB3_g	A	10	0	0	0.0
EL_CUX1	A	11	0	0	0.0
EL_SRSF2	A	11	3	0	0.9966777408637875
EL_TET2a	A	11	10	16	0.3844675124951941
EL_TET2b	A	11	21	2	0.9126466753585397
EL_TGFB3_c	A	11	0	0	0.0
EL_TGFB3_g	A	11	0	0	0.0
EL_CUX1	A	12	0	0	0.0
EL_SRSF2	A	12	2	11	0.15372790161414296
EL_TET2a	A	12	0	2	0.0
EL_TET2b	A	12	2	0	0.9950248756218907
EL_TGFB3_c	A	12	0	0	0.0
EL_TGFB3_g	A	12	0	0	0.0
EL_CUX1	A	13	0	0	0.0
EL_SRSF2	A	13	0	1	0.0
EL_TET2a	A	13	2	3	0.3992015968063872
EL_TET2b	A	13	1	2	0.33222591362126247
EL_TGFB3_c	A	13	0	0	0.0
EL_TGFB3_g	A	13	0	0	0.0
EL_CUX1	A	14	0	0	0.0
EL_SRSF2	A	14	1	0	0.9900990099009901
EL_TET2a	A	14	0	0	0.0
EL_TET2b	A	14	0	5	0.0
EL_TGFB3_c	A	14	0	0	0.0
EL_TGFB3_g	A	14	0	0	0.0
EL_CUX1	A	15	0	0	0.0
EL_SRSF2	A	15	0	0	0.0
EL_TET2a	A	15	0	0	0.0
EL_TET2b	A	15	0	5	0.0
EL_TGFB3_c	A	15	0	0	0.0
EL_TGFB3_g	A	15	0	0	0.0
EL_CUX1	A	16	0	0	0.0
EL_SRSF2	A	16	0	22	0.0
EL_TET2a	A	16	21	19	0.5248687828042989
EL_TET2b	A	16	1	91	0.010868383871318334
EL_TGFB3_c	A	16	0	0	0.0
EL_TGFB3_g	A	16	0	0	0.0
EL_CUX1	A	17	0	0	0.0
EL_SRSF2	A	17	0	248	0.0
EL_TET2a	A	17	0	0	0.0
EL_TET2b	A	17	1	1	0.49751243781094534
EL_TGFB3_c	A	17	0	0	0.0
EL_TGFB3_g	A	17	0	0	0.0
EL_CUX1	A	18	0	0	0.0
EL_SRSF2	A	18	0	39	0.0
EL_TET2a	A	18	1	0	0.9900990099009901
EL_TET2b	A	18	0	0	0.0
EL_TGFB3_c	A	18	0	0	0.0
EL_TGFB3_g	A	18	0	0	0.0
EL_CUX1	A	19	0	0	0.0
EL_SRSF2	A	19	20	17	0.5403944879762227
EL_TET2a	A	19	1	94	0.010525207872855488
EL_TET2b	A	19	91	43	0.679053801955078
EL_TGFB3_c	A	19	0	0	0.0
EL_TGFB3_g	A	19	0	0	0.0
EL_CUX1	A	2	0	0	0.0
EL_SRSF2	A	2	2	18	0.09995002498750624
EL_TET2a	A	2	11	5	0.6870705808869456
EL_TET2b	A	2	40	50	0.4443950672147539
EL_TGFB3_c	A	2	0	0	0.0
EL_TGFB3_g	A	2	0	0	0.0
EL_CUX1	A	20	0	0	0.0
EL_SRSF2	A	20	1	0	0.9900990099009901
EL_TET2a	A	20	0	1	0.0
EL_TET2b	A	20	0	0	0.0
EL_TGFB3_c	A	20	0	0	0.0
EL_TGFB3_g	A	20	0	0	0.0
EL_CUX1	A	21	0	0	0.0
EL_SRSF2	A	21	0	3	0.0
EL_TET2a	A	21	56	11	0.8356961647515295
EL_TET2b	A	21	1	0	0.9900990099009901
EL_TGFB3_c	A	21	0	0	0.0
EL_TGFB3_g	A	21	0	6	0.0
EL_CUX1	A	22	0	0	0.0
EL_SRSF2	A	22	160	19	0.8938048153734429
EL_TET2a	A	22	26	36	0.41928721174004197
EL_TET2b	A	22	1	168	0.00591680965623336
EL_TGFB3_c	A	22	0	0	0.0
EL_TGFB3_g	A	22	0	0	0.0
EL_CUX1	A	23	0	0	0.0
EL_SRSF2	A	23	1	6	0.14265335235378032
EL_TET2a	A	23	0	0	0.0
EL_TET2b	A	23	0	0	0.0
EL_TGFB3_c	A	23	0	0	0.0
EL_TGFB3_g	A	23	0	0	0.0
EL_CUX1	A	24	0	0	0.0
EL_SRSF2	A	24	0	283	0.0
EL_TET2a	A	24	1	37	0.026308866087871613
EL_TET2b	A	24	0	0	0.0
EL_TGFB3_c	A	24	0	0	0.0
EL_TGFB3_g	A	24	0	2	0.0
EL_CUX1	A	3	0	0	0.0
EL_SRSF2	A	3	7	18	0.2798880447820872
EL_TET2a	A	3	2	25	0.07404664938911514
EL_TET2b	A	3	24	77	0.2376002376002376
EL_TGFB3_c	A	3	0	0	0.0
EL_TGFB3_g	A	3	0	0	0.0
EL_CUX1	A	4	0	0	0.0
EL_SRSF2	A	4	12	7	0.6312467122567069
EL_TET2a	A	4	44	13	0.7717944220312226
EL_TET2b	A	4	1	15	0.062460961898813235
EL_TGFB3_c	A	4	0	0	0.0
EL_TGFB3_g	A	4	0	1	0.0
EL_CUX1	A	5	0	0	0.0
EL_SRSF2	A	5	0	0	0.0
EL_TET2a	A	5	0	9	0.0
EL_TET2b	A	5	20	3	0.8691873098652759
EL_TGFB3_c	A	5	0	0	0.0
EL_TGFB3_g	A	5	0	23	0.0
EL_CUX1	A	6	0	0	0.0
EL_SRSF2	A	6	0	12	0.0
EL_TET2a	A	6	2	3	0.3992015968063872
EL_TET2b	A	6	0	1	0.0
EL_TGFB3_c	A	6	0	0	0.0
EL_TGFB3_g	A	6	0	0	0.0
EL_CUX1	A	7	0	0	0.0
EL_SRSF2	A	7	0	1	0.0
EL_TET2a	A	7	0	24	0.0
EL_TET2b	A	7	0	0	0.0
EL_TGFB3_c	A	7	0	0	0.0
EL_TGFB3_g	A	7	0	0	0.0
EL_CUX1	A	8	0	0	0.0
EL_SRSF2	A	8	3	19	0.13630168105406631
EL_TET2a	A	8	0	1	0.0
EL_TET2b	A	8	1	0	0.9900990099009901
EL_TGFB3_c	A	8	0	0	0.0
EL_TGFB3_g	A	8	0	0	0.0
EL_CUX1	A	9	0	0	0.0
EL_SRSF2	A	9	35	153	0.18616031062177546
EL_TET2a	A	9	0	1	0.0
EL_TET2b	A	9	2	0	0.9950248756218907
EL_TGFB3_c	A	9	0	0	0.0
EL_TGFB3_g	A	9	0	2	0.0
EL_CUX1	B	1	0	0	0.0
EL_SRSF2	B	1	7	14	0.3331746787244169
EL_TET2a	B	1	21	34	0.3817487729503727
EL_TET2b	B	1	34	89	0.2764002926591334
EL_TGFB3_c	B	1	0	0	0.0
EL_TGFB3_g	B	1	3	11	0.21413276231263384
EL_CUX1	B	10	0	0	0.0
EL_SRSF2	B	10	0	2	0.0
EL_TET2a	B	10	3	10	0.23059185242121447
EL_TET2b	B	10	1	11	0.08326394671107411
EL_TGFB3_c	B	10	0	0	0.0
EL_TGFB3_g	B	10	0	0	0.0
EL_CUX1	B	11	0	0	0.0
EL_SRSF2	B	11	29	91	0.24164652945587867
EL_TET2a	B	11	13	50	0.2063164577051262
EL_TET2b	B	11	108	70	0.6067074883433515
EL_TGFB3_c	B	11	0	0	0.0
EL_TGFB3_g	B	11	0	28	0.0
EL_CUX1	B	12	0	0	0.0
EL_SRSF2	B	12	9	257	0.03383331453704748
EL_TET2a	B	12	38	67	0.3618702980668508
EL_TET2b	B	12	61	178	0.2552194468850676
EL_TGFB3_c	B	12	0	0	0.0
EL_TGFB3_g	B	12	8	9	0.47031158142269247
EL_CUX1	B	13	0	0	0.0
EL_SRSF2	B	13	14	25	0.3588823378620867
EL_TET2a	B	13	39	78	0.33330484573968033
EL_TET2b	B	13	75	178	0.2964309711078614
EL_TGFB3_c	B	13	0	0	0.0
EL_TGFB3_g	B	13	6	8	0.4282655246252677
EL_CUX1	B	14	0	0	0.0
EL_SRSF2	B	14	0	0	0.0
EL_TET2a	B	14	24	24	0.49989585503020206
EL_TET2b	B	14	8	1323	0.0060104732496374935
EL_TGFB3_c	B	14	0	0	0.0
EL_TGFB3_g	B	14	1	0	0.9900990099009901
EL_CUX1	B	15	1	0	0.9900990099009901
EL_SRSF2	B	15	1	0	0.9900990099009901
EL_TET2a	B	15	188	17	0.9170284376371884
EL_TET2b	B	15	9	1640	0.005457820146633435
EL_TGFB3_c	B	15	0	0	0.0
EL_TGFB3_g	B	15	117	1	0.9914414032709092
EL_CUX1	B	16	0	0	0.0
EL_SRSF2	B	16	12	3029	0.003946057395404816
EL_TET2a	B	16	7840	5460	0.5894732409975632
EL_TET2b	B	16	219	18205	0.011886663109713902
EL_TGFB3_c	B	16	0	0	0.0
EL_TGFB3_g	B	16	4	5	0.4439511653718091
EL_CUX1	B	17	0	0	0.0
EL_SRSF2	B	17	9	139	0.06080670224984799
EL_TET2a	B	17	25	70	0.2631301968213872
EL_TET2b	B	17	65	133	0.3282662491793344
EL_TGFB3_c	B	17	0	0	0.0
EL_TGFB3_g	B	17	5	6	0.45413260672116257
EL_CUX1	B	18	0	0	0.0
EL_SRSF2	B	18	5	29	0.1470155836518671
EL_TET2a	B	18	21	74	0.22102936532996525
EL_TET2b	B	18	77	136	0.3614853762734144
EL_TGFB3_c	B	18	0	0	0.0
EL_TGFB3_g	B	18	7	6	0.5380476556495004
EL_CUX1	B	19	0	0	0.0
EL_SRSF2	B	19	1407	1760	0.44426762151050986
EL_TET2a	B	19	585	35458	0.01623060893083014
EL_TET2b	B	19	31051	12828	0.7076504232889483
EL_TGFB3_c	B	19	0	0	0.0
EL_TGFB3_g	B	19	8	4	0.6661115736885929
EL_CUX1	B	2	0	0	0.0
EL_SRSF2	B	2	11	64	0.1466471137181709
EL_TET2a	B	2	58	78	0.4264392324093817
EL_TET2b	B	2	85	376	0.18437777922387802
EL_TGFB3_c	B	2	0	0	0.0
EL_TGFB3_g	B	2	6	4	0.5994005994005994
EL_CUX1	B	20	0	0	0.0
EL_SRSF2	B	20	11	57	0.16174092045287455
EL_TET2a	B	20	41	76	0.35039740193145885
EL_TET2b	B	20	106	175	0.37721077541724496
EL_TGFB3_c	B	20	0	0	0.0
EL_TGFB3_g	B	20	8	6	0.5710206995003569
EL_CUX1	B	21	0	0	0.0
EL_SRSF2	B	21	5	21	0.19223375624759706
EL_TET2a	B	21	11	26	0.29721696838692246
EL_TET2b	B	21	29	77	0.27355909819828317
EL_TGFB3_c	B	21	0	0	0.0
EL_TGFB3_g	B	21	5	342	0.0144088066626322
EL_CUX1	B	22	1	0	0.9900990099009901
EL_SRSF2	B	22	34	2352	0.014249730722000326
EL_TET2a	B	22	7642	6570	0.5377142290217921
EL_TET2b	B	22	78	68121	0.0011437116169281637
EL_TGFB3_c	B	22	0	0	0.0
EL_TGFB3_g	B	22	9	8	0.5291005291005291
EL_CUX1	B	23	0	0	0.0
EL_SRSF2	B	23	8	24	0.2499218994064355
EL_TET2a	B	23	20	59	0.2531325148715352
EL_TET2b	B	23	49	122	0.2865329512893983
EL_TGFB3_c	B	23	0	0	0.0
EL_TGFB3_g	B	23	5	3	0.6242197253433208
EL_CUX1	B	24	0	0	0.0
EL_SRSF2	B	24	12	40	0.23072486060373007
EL_TET2a	B	24	34	82	0.29307818291526594
EL_TET2b	B	24	81	189	0.2999888893003963
EL_TGFB3_c	B	24	0	0	0.0
EL_TGFB3_g	B	24	11	6	0.6466784244562022
EL_CUX1	B	3	0	0	0.0
EL_SRSF2	B	3	29	53	0.3536154127545421
EL_TET2a	B	3	24	81	0.2285496619369584
EL_TET2b	B	3	103	235	0.30472471228661874
EL_TGFB3_c	B	3	0	0	0.0
EL_TGFB3_g	B	3	2	1	0.6644518272425249
EL_CUX1	B	4	0	0	0.0
EL_SRSF2	B	4	32	265	0.10774048011851453
EL_TET2a	B	4	141	101	0.5826205528697161
EL_TET2b	B	4	47	141	0.2499867028349556
EL_TGFB3_c	B	4	0	0	0.0
EL_TGFB3_g	B	4	6	7	0.46118370484242893
EL_CUX1	B	5	0	0	0.0
EL_SRSF2	B	5	0	4	0.0
EL_TET2a	B	5	14	50	0.21871582565224182
EL_TET2b	B	5	78	196	0.28466114375387763
EL_TGFB3_c	B	5	0	0	0.0
EL_TGFB3_g	B	5	4	38	0.09521542489883361
EL_CUX1	B	6	0	0	0.0
EL_SRSF2	B	6	7	42	0.14282799428688023
EL_TET2a	B	6	59	67	0.4682168081898262
EL_TET2b	B	6	58	116	0.33331417734612956
EL_TGFB3_c	B	6	0	0	0.0
EL_TGFB3_g	B	6	10	1	0.9082652134423251
EL_CUX1	B	7	0	0	0.0
EL_SRSF2	B	7	3	11	0.21413276231263384
EL_TET2a	B	7	18	28	0.39121930015214085
EL_TET2b	B	7	24	54	0.30765286501730543
EL_TGFB3_c	B	7	0	0	0.0
EL_TGFB3_g	B	7	2	2	0.49875311720698257
EL_CUX1	B	8	0	0	0.0
EL_SRSF2	B	8	15	77	0.163025758069775
EL_TET2a	B	8	31	66	0.3195546850840119
EL_TET2b	B	8	48	149	0.2436424546977311
EL_TGFB3_c	B	8	0	0	0.0
EL_TGFB3_g	B	8	4	3	0.5706134094151213
EL_CUX1	B	9	0	0	0.0
EL_SRSF2	B	9	7	60	0.10446202059394119
EL_TET2a	B	9	23	41	0.359318856428683
EL_TET2b	B	9	38	77	0.3304060516476828
EL_TGFB3_c	B	9	0	0	0.0
EL_TGFB3_g	B	9	2	3	0.3992015968063872
EL_CUX1	C	1	0	0	0.0
EL_SRSF2	C	1	12	26	0.31570639305445936
EL_TET2a	C	1	52	30	0.6340690159736617
EL_TET2b	C	1	112	20	0.8484205741989244
EL_TGFB3_c	C	1	0	0	0.0
EL_TGFB3_g	C	1	1	39	0.024993751562109475
EL_CUX1	C	10	0	0	0.0
EL_SRSF2	C	10	0	5	0.0
EL_TET2a	C	10	1149	194	0.8555409118323766
EL_TET2b	C	10	44	162	0.21358186495801176
EL_TGFB3_c	C	10	0	0	0.0
EL_TGFB3_g	C	10	42	10	0.8075370121130552
EL_CUX1	C	11	0	0	0.0
EL_SRSF2	C	11	136	233	0.36855369773176877
EL_TET2a	C	11	198	2506	0.07322458127003968
EL_TET2b	C	11	20429	2206	0.9025399149370821
EL_TGFB3_c	C	11	0	0	0.0
EL_TGFB3_g	C	11	0	12	0.0
EL_CUX1	C	12	0	0	0.0
EL_SRSF2	C	12	26	65	0.2856828919898912
EL_TET2a	C	12	99	87	0.5322294500295683
EL_TET2b	C	12	243	40	0.8586269036429809
EL_TGFB3_c	C	12	0	0	0.0
EL_TGFB3_g	C	12	2	82	0.02380668967980002
EL_CUX1	C	13	0	0	0.0
EL_SRSF2	C	13	30	64	0.3191149877672588
EL_TET2a	C	13	90	77	0.5388898868331238
EL_TET2b	C	13	268	132	0.6699832504187395
EL_TGFB3_c	C	13	0	0	0.0
EL_TGFB3_g	C	13	7	67	0.09458181326847723
EL_CUX1	C	14	0	0	0.0
EL_SRSF2	C	14	0	0	0.0
EL_TET2a	C	14	7	5	0.5828476269775188
EL_TET2b	C	14	40	29	0.5796261411389654
EL_TGFB3_c	C	14	0	0	0.0
EL_TGFB3_g	C	14	0	13	0.0
EL_CUX1	C	15	0	0	0.0
EL_SRSF2	C	15	1	0	0.9900990099009901
EL_TET2a	C	15	10	13	0.43459365493263796
EL_TET2b	C	15	34	35	0.4926822199681205
EL_TGFB3_c	C	15	0	0	0.0
EL_TGFB3_g	C	15	5	7	0.41631973355537055
EL_CUX1	C	16	0	0	0.0
EL_SRSF2	C	16	17	110	0.13384772852531296
EL_TET2a	C	16	120	98	0.5504334663547544
EL_TET2b	C	16	169	222	0.4322140098718703
EL_TGFB3_c	C	16	0	0	0.0
EL_TGFB3_g	C	16	0	28	0.0
EL_CUX1	C	17	0	0	0.0
EL_SRSF2	C	17	18	84	0.17645328889324574
EL_TET2a	C	17	77	45	0.6310958118187033
EL_TET2b	C	17	150	28	0.842649289365766
EL_TGFB3_c	C	17	0	0	0.0
EL_TGFB3_g	C	17	3	41	0.0681663258350375
EL_CUX1	C	18	0	0	0.0
EL_SRSF2	C	18	12	51	0.19044596095857802
EL_TET2a	C	18	103	55	0.6518574773748498
EL_TET2b	C	18	148	24	0.8604150921458055
EL_TGFB3_c	C	18	0	0	0.0
EL_TGFB3_g	C	18	1	39	0.024993751562109475
EL_CUX1	C	19	0	0	0.0
EL_SRSF2	C	19	41	76	0.35039740193145885
EL_TET2a	C	19	92	202	0.31291452671677833
EL_TET2b	C	19	379	139	0.7316461072180074
EL_TGFB3_c	C	19	0	0	0.0
EL_TGFB3_g	C	19	2	36	0.052617732175743226
EL_CUX1	C	2	0	0	0.0
EL_SRSF2	C	2	13	213	0.057519578779700015
EL_TET2a	C	2	3383	638	0.841330909398385
EL_TET2b	C	2	282	218	0.5639887202255955
EL_TGFB3_c	C	2	0	0	0.0
EL_TGFB3_g	C	2	2	55	0.03508156463778284
EL_CUX1	C	20	0	0	0.0
EL_SRSF2	C	20	19	55	0.25672206458586677
EL_TET2a	C	20	78	55	0.5864220735283062
EL_TET2b	C	20	224	45	0.8326827998959146
EL_TGFB3_c	C	20	0	0	0.0
EL_TGFB3_g	C	20	5	56	0.081953778069169
EL_CUX1	C	21	0	0	0.0
EL_SRSF2	C	21	4	23	0.14809329877823027
EL_TET2a	C	21	39	17	0.6963042313872523
EL_TET2b	C	21	82	14	0.8540777002395583
EL_TGFB3_c	C	21	0	0	0.0
EL_TGFB3_g	C	21	2	23	0.07996801279488204
EL_CUX1	C	22	0	0	0.0
EL_SRSF2	C	22	28	110	0.20288384899644954
EL_TET2a	C	22	171	173	0.4970785732972879
EL_TET2b	C	22	316	561	0.36031516174273953
EL_TGFB3_c	C	22	0	0	0.0
EL_TGFB3_g	C	22	6	70	0.07893698197605578
EL_CUX1	C	23	0	0	0.0
EL_SRSF2	C	23	15	40	0.2726776949645519
EL_TET2a	C	23	58	38	0.604103739193834
EL_TET2b	C	23	200	26	0.8849165966107695
EL_TGFB3_c	C	23	0	0	0.0
EL_TGFB3_g	C	23	0	46	0.0
EL_CUX1	C	24	0	0	0.0
EL_SRSF2	C	24	25	210	0.10637845198076679
EL_TET2a	C	24	66	46	0.5892331041871262
EL_TET2b	C	24	193	34	0.8501828113298974
EL_TGFB3_c	C	24	0	0	0.0
EL_TGFB3_g	C	24	2	48	0.03999200159968007
EL_CUX1	C	3	0	0	0.0
EL_SRSF2	C	3	22	58	0.27496562929633794
EL_TET2a	C	3	40	115	0.2580478678794917
EL_TET2b	C	3	216	238	0.47576044580515847
EL_TGFB3_c	C	3	0	0	0.0
EL_TGFB3_g	C	3	3	29	0.09372071227741331
EL_CUX1	C	4	0	0	0.0
EL_SRSF2	C	4	733	465	0.611847981235549
EL_TET2a	C	4	19946	3778	0.8407516267275221
EL_TET2b	C	4	161	2778	0.05478035120669885
EL_TGFB3_c	C	4	0	0	0.0
EL_TGFB3_g	C	4	3	36	0.07690335811330429
EL_CUX1	C	5	0	0	0.0
EL_SRSF2	C	5	2	18	0.09995002498750624
EL_TET2a	C	5	24	2606	0.009125440587678373
EL_TET2b	C	5	7533	10	0.9986729435596665
EL_TGFB3_c	C	5	0	1	0.0
EL_TGFB3_g	C	5	1	6733	0.00014849992797753492
EL_CUX1	C	6	0	0	0.0
EL_SRSF2	C	6	10	783	0.012610181460511218
EL_TET2a	C	6	422	223	0.6542534224275592
EL_TET2b	C	6	141	20	0.8757220048444196
EL_TGFB3_c	C	6	0	0	0.0
EL_TGFB3_g	C	6	1	57	0.017238407171177385
EL_CUX1	C	7	0	0	0.0
EL_SRSF2	C	7	9	20	0.3102378490175801
EL_TET2a	C	7	22	26	0.45823786711101855
EL_TET2b	C	7	55	9	0.8592407436338072
EL_TGFB3_c	C	7	0	0	0.0
EL_TGFB3_g	C	7	2	13	0.13324450366422386
EL_CUX1	C	8	0	0	0.0
EL_SRSF2	C	8	254	3497	0.067715095400972
EL_TET2a	C	8	117	70	0.6256349927811348
EL_TET2b	C	8	203	327	0.383011641289787
EL_TGFB3_c	C	8	0	0	0.0
EL_TGFB3_g	C	8	2	43	0.04443457009553433
EL_CUX1	C	9	0	0	0.0
EL_SRSF2	C	9	17	3111	0.005434765234126489
EL_TET2a	C	9	242	59	0.8039600013288596
EL_TET2b	C	9	480	22	0.9561562518674926
EL_TGFB3_c	C	9	0	0	0.0
EL_TGFB3_g	C	9	5	265	0.018517832672863967
EL_CUX1	D	1	0	0	0.0
EL_SRSF2	D	1	0	1	0.0
EL_TET2a	D	1	740	98	0.883044355079295
EL_TET2b	D	1	0	0	0.0
EL_TGFB3_c	D	1	0	0	0.0
EL_TGFB3_g	D	1	0	3	0.0
EL_CUX1	D	10	0	0	0.0
EL_SRSF2	D	10	0	1	0.0
EL_TET2a	D	10	6	0	0.9983361064891847
EL_TET2b	D	10	0	0	0.0
EL_TGFB3_c	D	10	0	0	0.0
EL_TGFB3_g	D	10	0	0	0.0
EL_CUX1	D	11	0	0	0.0
EL_SRSF2	D	11	1	3	0.24937655860349128
EL_TET2a	D	11	1	10	0.09082652134423251
EL_TET2b	D	11	29	2	0.9351821992905514
EL_TGFB3_c	D	11	0	0	0.0
EL_TGFB3_g	D	11	0	0	0.0
EL_CUX1	D	12	0	0	0.0
EL_SRSF2	D	12	0	10	0.0
EL_TET2a	D	12	5	1	0.831946755407654
EL_TET2b	D	12	3	0	0.9966777408637875
EL_TGFB3_c	D	12	0	0	0.0
EL_TGFB3_g	D	12	0	0	0.0
EL_CUX1	D	13	0	0	0.0
EL_SRSF2	D	13	0	12	0.0
EL_TET2a	D	13	28	4	0.8747266479225243
EL_TET2b	D	13	5	31	0.13885031935573452
EL_TGFB3_c	D	13	0	0	0.0
EL_TGFB3_g	D	13	0	0	0.0
EL_CUX1	D	14	0	0	0.0
EL_SRSF2	D	14	0	0	0.0
EL_TET2a	D	14	1	0	0.9900990099009901
EL_TET2b	D	14	9	7	0.5621486570893192
EL_TGFB3_c	D	14	0	0	0.0
EL_TGFB3_g	D	14	0	0	0.0
EL_CUX1	D	15	0	0	0.0
EL_SRSF2	D	15	0	1	0.0
EL_TET2a	D	15	0	0	0.0
EL_TET2b	D	15	0	9	0.0
EL_TGFB3_c	D	15	0	0	0.0
EL_TGFB3_g	D	15	4	0	0.9975062344139651
EL_CUX1	D	16	0	0	0.0
EL_SRSF2	D	16	0	39	0.0
EL_TET2a	D	16	28	26	0.5184225143491946
EL_TET2b	D	16	3	67	0.0428510212826739
EL_TGFB3_c	D	16	0	0	0.0
EL_TGFB3_g	D	16	0	0	0.0
EL_CUX1	D	17	0	0	0.0
EL_SRSF2	D	17	0	11	0.0
EL_TET2a	D	17	4	0	0.9975062344139651
EL_TET2b	D	17	3	1	0.7481296758104738
EL_TGFB3_c	D	17	0	0	0.0
EL_TGFB3_g	D	17	0	1	0.0
EL_CUX1	D	18	0	0	0.0
EL_SRSF2	D	18	0	5	0.0
EL_TET2a	D	18	5	1	0.831946755407654
EL_TET2b	D	18	1	0	0.9900990099009901
EL_TGFB3_c	D	18	0	0	0.0
EL_TGFB3_g	D	18	0	0	0.0
EL_CUX1	D	19	0	0	0.0
EL_SRSF2	D	19	14	25	0.3588823378620867
EL_TET2a	D	19	8	77	0.09410657569697682
EL_TET2b	D	19	150	71	0.6787023211619384
EL_TGFB3_c	D	19	0	0	0.0
EL_TGFB3_g	D	19	0	0	0.0
EL_CUX1	D	2	0	0	0.0
EL_SRSF2	D	2	2	628	0.0031745527848764305
EL_TET2a	D	2	415	84	0.8316466603875674
EL_TET2b	D	2	916	87	0.9132511141464192
EL_TGFB3_c	D	2	0	0	0.0
EL_TGFB3_g	D	2	0	0	0.0
EL_CUX1	D	20	0	0	0.0
EL_SRSF2	D	20	1	2	0.33222591362126247
EL_TET2a	D	20	5	2	0.7132667617689016
EL_TET2b	D	20	3	2	0.5988023952095809
EL_TGFB3_c	D	20	0	0	0.0
EL_TGFB3_g	D	20	1	0	0.9900990099009901
EL_CUX1	D	21	0	0	0.0
EL_SRSF2	D	21	0	5	0.0
EL_TET2a	D	21	1	0	0.9900990099009901
EL_TET2b	D	21	2	0	0.9950248756218907
EL_TGFB3_c	D	21	0	0	0.0
EL_TGFB3_g	D	21	1	2	0.33222591362126247
EL_CUX1	D	22	0	0	0.0
EL_SRSF2	D	22	1	10	0.09082652134423251
EL_TET2a	D	22	27	15	0.6427041180671269
EL_TET2b	D	22	0	120	0.0
EL_TGFB3_c	D	22	0	0	0.0
EL_TGFB3_g	D	22	0	0	0.0
EL_CUX1	D	23	0	0	0.0
EL_SRSF2	D	23	0	6	0.0
